ticket_id,user_id,plan_type,is_churned,channel,status,sentiment,primary_label,secondary_label,tertiary_label,ticket_body,created_at
TKT-A39DF11A,USR-00026,Standard,True,Phone,Resolved,Neutral,Marketing / SEO,Website Not Updating,Content Change,My website hasn't updated since I made changes two days ago.,2025-09-14
TKT-9784C1A1,USR-00162,Standard,False,Phone,Resolved,Neutral,Account Access,Permissions Error,Admin Role,My staff member can't access the dashboard even though I invited them.,2026-01-14
TKT-EA50D44B,USR-00155,Standard,False,Email,Open,Positive,Billing,Invoice Question,Tax Documentation,Can you send me an invoice for my records? I can't find it in the portal.,2026-01-04
TKT-E70D7E24,USR-00065,Basic,False,Email,Escalated,Frustrated,Online Ordering,Order Not Received,Notification Failure,A customer said they placed an order but I never received it in my POS.,2026-03-03
TKT-2C146C8F,USR-00101,Standard,False,Email,Resolved,Angry,Billing,Invoice Question,Monthly Summary,I was charged twice this month and need a refund right away.,2026-03-09
TKT-2A96C743,USR-00112,Standard,False,Email,Escalated,Neutral,Onboarding,Training Request,Reporting Tutorial,My site still isn't published after completing setup. What's missing?,2026-02-03
TKT-9915D0FB,USR-00020,Basic,False,Chat,Open,Neutral,Product / Feature,Feature Request,Multi-Location,I've been asking for multi-location support for months. Any update?,2025-12-13
TKT-88CE66AA,USR-00052,Standard,True,Email,In Progress,Neutral,Marketing / SEO,SEO Performance,Keyword Targeting,My Google listing is showing the wrong address. I need this fixed ASAP.,2025-11-14
TKT-3C880CD7,USR-00188,Premium,False,Email,Resolved,Angry,Account Access,Permissions Error,Staff Access,My account got locked and I don't know why.,2025-10-15
TKT-DE968F3C,USR-00011,Basic,True,Email,Resolved,Angry,Online Ordering,Page Not Loading,Mobile Browser,"My online ordering page is completely broken, customers can't place orders.",2025-09-18
TKT-C16977F3,USR-00038,Premium,False,Phone,Open,Frustrated,Product / Feature,Performance Issue,Timeout Error,I'm not receiving any notifications when new orders come in.,2025-12-15
TKT-C7C8466B,USR-00018,Basic,False,Phone,Resolved,Neutral,Onboarding,Integration Help,Clover Integration,Can someone walk me through how to set up my first email campaign?,2025-12-22
TKT-08FFA169,USR-00179,Basic,True,Chat,In Progress,Frustrated,Onboarding,Training Request,Reporting Tutorial,Can someone walk me through how to set up my first email campaign?,2026-02-20
TKT-E4540014,USR-00186,Basic,False,Chat,Resolved,Frustrated,Onboarding,Training Request,Campaign Setup,My site still isn't published after completing setup. What's missing?,2026-01-26
TKT-AFBD9DDA,USR-00159,Standard,False,Email,Resolved,Frustrated,Account Access,Permissions Error,Admin Role,I can't log in. It says my password is wrong but I just reset it.,2025-09-29
TKT-A1BF7D2C,USR-00184,Premium,False,Email,Resolved,Frustrated,Marketing / SEO,Google Listing Issue,Hours Not Updating,My business hours on Google are still showing the old times.,2025-11-02
TKT-850CDD68,USR-00131,Basic,True,Chat,Resolved,Angry,Onboarding,Go-Live Issue,Ordering Not Active,How do I import my existing menu? I can't figure out the format.,2026-02-28
TKT-06CE2148,USR-00098,Standard,False,Chat,Open,Frustrated,Marketing / SEO,Google Listing Issue,Hours Not Updating,The email campaign I scheduled yesterday never went out.,2025-09-23
TKT-C406F8BE,USR-00040,Basic,True,Chat,Resolved,Neutral,Onboarding,Training Request,Reporting Tutorial,How do I import my existing menu? I can't figure out the format.,2026-02-10
TKT-F21E042F,USR-00164,Premium,True,Chat,Escalated,Neutral,Account Access,Account Setup,New User Invite,The two-factor authentication code isn't being sent to my phone.,2025-10-07
TKT-3B253E67,USR-00174,Basic,True,Email,Resolved,Frustrated,Billing,Invoice Question,Tax Documentation,Can you send me an invoice for my records? I can't find it in the portal.,2025-09-27
TKT-D8BB62DB,USR-00008,Basic,False,Email,In Progress,Angry,Online Ordering,Menu Not Updating,Item Availability,"My online ordering page is completely broken, customers can't place orders.",2026-03-01
TKT-4CE9D500,USR-00049,Premium,False,Email,In Progress,Positive,Billing,Failed Payment,Credit Card Expired,There's an unexpected charge on my account from last week.,2025-09-21
TKT-1E2D6567,USR-00077,Basic,False,Chat,Resolved,Angry,Account Access,Permissions Error,Staff Access,The two-factor authentication code isn't being sent to my phone.,2025-10-29
TKT-DA3C9E8E,USR-00079,Standard,False,Phone,Escalated,Positive,Onboarding,Training Request,Dashboard Walkthrough,Can someone walk me through how to set up my first email campaign?,2026-01-17
